遺,907a,bequeath,leave behind,reserve,,,,,,,,, 
医,533b,doctor,medicine,,,,,,,,,, 
井,4e95,well,well crib,town,community,,,,,,,, 
亥,4ea5,sign of the hog,9-11PM,twelfth sign of the Chinese zodiac,,,,,,,,, 
域,57df,range,region,limits,stage,level,,,,,,, 
育,80b2,bring up,grow up,raise,rear,,,,,,,, 
郁,90c1,cultural progress,perfume,,,,,,,,,, 
磯,78ef,seashore,beach,,,,,,,,,, 
一,4e00,one,one radical (no.1),,,,,,,,,, 
壱,58f1,I,one,,,,,,,,,, 
溢,6ea2,overflow,inundate,spill,,,,,,,,, 
逸,9038,deviate,idleness,leisure,miss the mark,evade,elude,parry,diverge,,,, 
稲,7a32,rice plant,,,,,,,,,,, 
茨,8328,briar,thorn,,,,,,,,,, 
芋,828b,potato,,,,,,,,,,, 
鰯,9c2f,sardine,(kokuji),,,,,,,,,, 
允,5141,license,sincerity,permit,,,,,,,,, 
印,5370,stamp,seal,mark,imprint,symbol,emblem,trademark,evidence,souvenir,India,, 
咽,54bd,choked,smothered,stuffy,,,,,,,,, 
員,54e1,employee,member,number,the one in charge,,,,,,,, 
因,56e0,cause,factor,be associated with,depend on,be limited to,,,,,,, 
姻,59fb,matrimony,marry,,,,,,,,,, 
引,5f15,pull,tug,jerk,admit,install,quote,refer to,,,,, 
飲,98f2,drink,smoke,take,,,,,,,,, 
淫,6deb,lewdness,licentiousness,,,,,,,,,, 
胤,80e4,descendent,issue,offspring,,,,,,,,, 
蔭,852d,shade,shadow,backing assistance,,,,,,,,, 
院,9662,Inst.,institution,temple,mansion,school,,,,,,, 
陰,9670,shade,yin,negative,sex organs,secret,shadow,,,,,, 
隠,96a0,conceal,hide,cover,,,,,,,,, 
韻,97fb,rhyme,elegance,tone,,,,,,,,, 
吋,540b,inch,,,,,,,,,,, 
右,53f3,right,,,,,,,,,,, 
宇,5b87,eaves,roof,house,heaven,,,,,,,, 
烏,70cf,crow,raven,,,,,,,,,, 
羽,7fbd,feathers,counter for birds, rabbits,,,,,,,,,, 
迂,8fc2,roundabout way,,,,,,,,,,, 
雨,96e8,rain,,,,,,,,,,, 
卯,536f,sign of the hare or rabbit,5-7AM,fourth sign of Chinese zodiac,east,,,,,,,, 
鵜,9d5c,cormorant,,,,,,,,,,, 
窺,7aba,lie in wait,spy on,reconnoiter,,,,,,,,, 
丑,4e11,sign of the ox or cow,1-3AM,second sign of Chinese zodiac,,,,,,,,, 
碓,7893,pestle,,,,,,,,,,, 
臼,81fc,mortar,,,,,,,,,,, 
渦,6e26,whirlpool,eddy,vortex,,,,,,,,, 
嘘,5618,lie,falsehood,,,,,,,,,, 
唄,5504,songs with samisen,,,,,,,,,,, 
欝,6b1d,gloom,depression,melancholy,,,,,,,,, 
蔚,851a,dense growth,,,,,,,,,,, 
鰻,9c3b,eel,,,,,,,,,,, 
姥,59e5,old woman,,,,,,,,,,, 
厩,53a9,barn,stable,,,,,,,,,, 
浦,6d66,bay,creek,inlet,gulf,beach,seacoast,,,,,, 
瓜,74dc,melon,,,,,,,,,,, 
閏,958f,intercalation,illegitimate throne,,,,,,,,,, 
噂,5642,rumor,gossip,hearsay,,,,,,,,, 
云,4e91,say,,,,,,,,,,, 
運,904b,carry,luck,destiny,fate,lot,transport,progress,advance,,,, 
雲,96f2,cloud,,,,,,,,,,, 
荏,834f,bean,perilla,herb,soft,pliable,,,,,,, 
餌,990c,food,bait,prey,tempting profit,,,,,,,, 
叡,53e1,intelligence,imperial,,,,,,,,,, 
営,55b6,occupation,camp,perform,build,conduct (business),,,,,,, 
嬰,5b30,sharp (music),baby,,,,,,,,,, 
影,5f71,shadow,silhouette,phantom,,,,,,,,, 
映,6620,reflect,reflection,projection,,,,,,,,, 
曳,66f3,pull,tug,jerk,admit,install,quote,refer to,,,,, 
栄,6804,flourish,prosperity,honor,glory,splendor,,,,,,, 
永,6c38,eternity,long,lengthy,,,,,,,,, 
泳,6cf3,swim,,,,,,,,,,, 
洩,6d29,leak,escape,,,,,,,,,, 
瑛,745b,sparkle of jewelry,crystal,,,,,,,,,, 
盈,76c8,fullness,enough,pride,satisfy,,,,,,,, 
穎,7a4e,heads of grain,cleverness,,,,,,,,,, 
頴,9834,heads of grain,cleverness,,,,,,,,,, 
英,82f1,England,English,,,,,,,,,, 
衛,885b,defense,protection,,,,,,,,,, 
詠,8a60,recitation,poem,song,composing,,,,,,,, 
鋭,92ed,pointed,sharpness,edge,weapon,sharp,violent,,,,,, 
液,6db2,fluid,liquid,juice,sap,secretion,,,,,,, 
疫,75ab,epidemic,,,,,,,,,,, 
益,76ca,benefit,gain,profit,advantage,,,,,,,, 
駅,99c5,station,,,,,,,,,,, 
悦,60a6,ecstasy,joy,rapture,,,,,,,,, 
謁,8b01,audience,audience (with king),,,,,,,,,, 
越,8d8a,surpass,cross over,move to,exceed,Vietnam,,,,,,, 
閲,95b2,review,inspection,revision,,,,,,,,, 
榎,698e,lotus tree,nettle tree,hackberry,,,,,,,,, 
厭,53ad,get tired of,satiate,bore,dislike,disagreeable,unwelcome,,,,,, 
円,5186,circle,yen,round,,,,,,,,, 
園,5712,park,garden,yard,farm,,,,,,,, 
堰,5830,dam,prevent,stop up,,,,,,,,, 
奄,5944,cover,suffocate,obstruct,,,,,,,,, 
宴,5bb4,banquet,feast,party,,,,,,,,, 
延,5ef6,prolong,stretching,,,,,,,,,, 
怨,6028,grudge,show resentment,be jealous,,,,,,,,, 
掩,63a9,cover,conceal,,,,,,,,,, 
援,63f4,abet,help,save,,,,,,,,, 
沿,6cbf,run alongside,follow along,run along,lie along,,,,,,,, 
演,6f14,performance,act,play,render,stage,,,,,,, 
炎,708e,inflammation,flame,blaze,,,,,,,,, 
焔,7114,flame,blaze,,,,,,,,,, 
煙,7159,smoke,,,,,,,,,,, 
燕,71d5,swallow (bird),,,,,,,,,,, 
猿,733f,monkey,,,,,,,,,,, 
縁,7e01,affinity,relation,connection,edge,border,verge,brink,,,,, 
艶,8276,glossy,luster,glaze,polish,charm,colorful,captivating,,,,, 
苑,82d1,garden,farm,park,,,,,,,,, 
薗,8597,garden,yard,farm,,,,,,,,, 
遠,9060,distant,far,,,,,,,,,, 
鉛,925b,lead,,,,,,,,,,, 
鴛,9d1b,male mandarin duck,,,,,,,,,,, 
塩,5869,salt,,,,,,,,,,, 
於,65bc,at,in,on,as for,,,,,,,, 
汚,6c5a,dirty,pollute,disgrace,rape,defile,,,,,,, 
甥,7525,nephew,,,,,,,,,,, 
凹,51f9,concave,hollow,sunken,,,,,,,,, 
央,592e,center,middle,,,,,,,,,, 
奥,5965,heart,interior,,,,,,,,,, 
往,5f80,journey,travel,chase away,let go,going,before,formerly,,,,, 
応,5fdc,apply,answer,yes,OK,reply,accept,,,,,, 
押,62bc,push,stop,check,subdue,attach,seize,weight,shove,press,seal,do in spite of, 
旺,65fa,flourishing,successful,beautiful,vigorous,,,,,,,, 
横,6a2a,sideways,side,horizontal,width,woof,,,,,,, 
欧,6b27,Europe,,,,,,,,,,, 
殴,6bb4,assault,hit,beat,thrash,,,,,,,, 
王,738b,king,rule,magnate,,,,,,,,, 
翁,7fc1,venerable old man,,,,,,,,,,, 
襖,8956,opaque sliding door,,,,,,,,,,, 
鴬,9d2c,nightingale,bush warbler,,,,,,,,,, 
鴎,9d0e,seagull,,,,,,,,,,, 
黄,9ec4,yellow,,,,,,,,,,, 
岡,5ca1,mount,hill,knoll,,,,,,,,, 
沖,6c96,open sea,offing,rise high into sky,,,,,,,,, 
荻,837b,reed,rush,,,,,,,,,, 
億,5104,hundred million,10**8,,,,,,,,,, 
屋,5c4b,roof,house,shop,dealer,seller,,,,,,, 
憶,61b6,recollection,think,remember,,,,,,,,, 
臆,81c6,timidity,heart,mind,fear,cowardly,,,,,,, 
桶,6876,tub,bucket,,,,,,,,,, 
牡,7261,male,,,,,,,,,,, 
乙,4e59,the latter,duplicate,strange,witty,fishhook radical (no. 5),,,,,,, 
俺,4ffa,I,myself,,,,,,,,,, 
卸,5378,wholesale,,,,,,,,,,, 
恩,6069,grace,kindness,goodness,favor,mercy,blessing,benefit,,,,, 
温,6e29,warm,,,,,,,,,,, 
穏,7a4f,calm,quiet,moderation,,,,,,,,, 
音,97f3,sound,noise,,,,,,,,,, 
下,4e0b,below,down,descend,give,low,inferior,,,,,, 
化,5316,change,take the form of,influence,enchant,delude,-ization,,,,,, 
仮,4eee,sham,temporary,interim,assumed (name),informal,,,,,,, 
何,4f55,what,,,,,,,,,,, 
伽,4f3d,nursing,attending,entertainer,,,,,,,,, 
価,4fa1,value,price,,,,,,,,,, 
佳,4f73,excellent,beautiful,good,pleasing,skilled,,,,,,, 
加,52a0,add,addition,increase,join,include,Canada,,,,,, 
可,53ef,can,passable,mustn't,should not,do not,,,,,,, 
嘉,5609,applaud,praise,esteem,happy,auspicious,,,,,,, 
夏,590f,summer,,,,,,,,,,, 
嫁,5ac1,marry into,bride,,,,,,,,,, 
家,5bb6,house,home,family,professional,expert,performer,,,,,, 
寡,5be1,widow,minority,few,,,,,,,,, 
科,79d1,department,course,section,,,,,,,,, 
暇,6687,spare time,rest,leisure,time,leave of absence,,,,,,, 
果,679c,fruit,reward,carry out,achieve,complete,end,finish,succeed,,,, 
架,67b6,erect,frame,mount,support,shelf,construct,,,,,, 
歌,6b4c,song,sing,,,,,,,,,, 
河,6cb3,river,,,,,,,,,,, 
火,706b,fire,,,,,,,,,,, 
珂,73c2,jewel,,,,,,,,,,, 
禍,798d,calamity,misfortune,evil,curse,,,,,,,, 
禾,79be,2-branch tree radical (no. 115),,,,,,,,,,, 
稼,7a3c,earnings,work,earn money,,,,,,,,, 
箇,7b87,counters for things,,,,,,,,,,, 
花,82b1,flower,,,,,,,,,,, 
苛,82db,torment,scold,chastise,,,,,,,,, 
茄,8304,eggplant,,,,,,,,,,, 
荷,8377,baggage,shoulder-pole load,bear (a burden),shoulder (a gun),load,cargo,freight,,,,, 
華,83ef,splendor,flower,petal,shine,luster,ostentatious,showy,gay,gorgeous,,, 
菓,83d3,candy,cakes,fruit,,,,,,,,, 
蝦,8766,shrimp,prawn,lobster,,,,,,,,, 
課,8ab2,chapter,lesson,section,department,division,counter for chapters (of a book),,,,,, 
嘩,5629,noisy,,,,,,,,,,, 
貨,8ca8,freight,goods,property,,,,,,,,, 
迦,8fe6,(used phonetically),,,,,,,,,,, 
過,904e,overdo,exceed,go beyond,error,,,,,,,, 
霞,971e,be hazy,grow dim,blurred,,,,,,,,, 
蚊,868a,mosquito,,,,,,,,,,, 
俄,4fc4,sudden,abrupt,improvised,,,,,,,,, 
峨,5ce8,high mountain,,,,,,,,,,, 
我,6211,ego,I,selfish,our,oneself,,,,,,, 
牙,7259,tusk,fang,tusk radical (no. 92),,,,,,,,, 
画,753b,brush-stroke,picture,,,,,,,,,, 
臥,81e5,bend down,bow,lie prostrate,,,,,,,,, 
芽,82bd,bud,sprout,spear,germ,,,,,,,, 
蛾,86fe,moth,,,,,,,,,,, 
賀,8cc0,congratulations,joy,,,,,,,,,, 
雅,96c5,gracious,elegant,graceful,refined,,,,,,,, 
餓,9913,starve,hungry,thirst,,,,,,,,, 
駕,99d5,vehicle,palanquin,litter,hitch up an animal,,,,,,,, 
介,4ecb,jammed in,shellfish,mediate,concern oneself with,,,,,,,, 
会,4f1a,meeting,meet,party,association,interview,join,,,,,, 
解,89e3,unravel,notes,key,explanation,understanding,untie,undo,solve,answer,cancel,absolve,explain 
回,56de,-times,round,game,revolve,counter for occurrences,,,,,,, 
塊,584a,clod,lump,chunk,clot,mass,,,,,,, 
壊,58ca,demolition,break,destroy,,,,,,,,, 
廻,5efb,round,game,revolve,go around,circumference,,,,,,, 
快,5feb,cheerful,pleasant,agreeable,comfortable,,,,,,,, 
怪,602a,suspicious,mystery,apparition,,,,,,,,, 
悔,6094,repent,regret,,,,,,,,,, 
恢,6062,wide,large,enlarge,,,,,,,,, 
懐,61d0,pocket,feelings,heart,yearn,miss someone,become attached to,bosom,breast,,,, 
戒,6212,commandment,,,,,,,,,,, 
拐,62d0,kidnap,falsify,,,,,,,,,, 
改,6539,reformation,change,modify,mend,renew,examine,inspect,search,,,, 
魁,9b41,charging ahead of others,,,,,,,,,,, 
晦,6666,dark,disappear,,,,,,,,,, 
械,68b0,contraption,fetter,machine,instrument,,,,,,,, 
海,6d77,sea,ocean,,,,,,,,,, 
灰,7070,ashes,puckery juice,cremate,,,,,,,,, 
界,754c,world,,,,,,,,,,, 
皆,7686,all,everything,,,,,,,,,, 
絵,7d75,picture,drawing,painting,sketch,,,,,,,, 
芥,82a5,mustard,rape,dust,trash,rubbish,,,,,,, 
蟹,87f9,crab,,,,,,,,,,, 
開,958b,open,unfold,unseal,,,,,,,,, 
階,968e,storey,stair,counter for storeys of a building,,,,,,,,, 
貝,8c9d,shellfish,,,,,,,,,,, 
凱,51f1,victory song,,,,,,,,,,, 
劾,52be,censure,criminal investigation,,,,,,,,,, 
外,5916,outside,,,,,,,,,,, 
咳,54b3,cough,clear throat,,,,,,,,,, 
害,5bb3,harm,injury,,,,,,,,,, 
崖,5d16,cliff,bluff,precipice,,,,,,,,, 
慨,6168,rue,be sad,sigh,lament,,,,,,,, 
概,6982,outline,condition,approximation,generally,,,,,,,, 
涯,6daf,horizon,shore,,,,,,,,,, 
碍,788d,obstacle,,,,,,,,,,, 
蓋,84cb,cover,lid,flap,,,,,,,,, 
街,8857,boulevard,street,town,,,,,,,,, 
該,8a72,above-stated,the said,that specific,,,,,,,,, 
鎧,93a7,put on armor,arm oneself,,,,,,,,,, 
骸,9ab8,bone,body,corpse,,,,,,,,, 
浬,6d6c,knot,nautical mile,,,,,,,,,, 
馨,99a8,fragrant,balmy,favourable,,,,,,,,, 
蛙,86d9,frog,,,,,,,,,,, 
垣,57a3,hedge,fence,wall,,,,,,,,, 
柿,67ff,persimmon,shingle,,,,,,,,,, 
蛎,86ce,oyster,,,,,,,,,,, 
鈎,920e,hook,barb,gaff,brackets,,,,,,,, 
劃,5283,divide,,,,,,,,,,, 
嚇,5687,menacing,dignity,majesty,threaten,,,,,,,, 
各,5404,each,every,either,,,,,,,,, 
廓,5ed3,enclosure,quarter,red-light district,,,,,,,,, 
拡,62e1,broaden,extend,expand,enlarge,,,,,,,, 
撹,64b9,disturb,throw into confusion,,,,,,,,,, 
格,683c,status,rank,capacity,character,case (law, grammar),,,,,,, 
核,6838,nucleus,core,kernel,,,,,,,,, 
殻,6bbb,husk,nut shell,,,,,,,,,, 
獲,7372,seize,get,find,earn,acquire,can,may,able to,,,, 
確,78ba,assurance,firm,tight,hard,solid,confirm,clear,evident,,,, 
穫,7a6b,harvest,reap,,,,,,,,,, 
覚,899a,memorize,learn,remember,awake,sober up,,,,,,, 
角,89d2,angle,corner,square,horn,antlers,,,,,,, 
赫,8d6b,suddenly,brighten,illuminate,light up,,,,,,,, 
較,8f03,contrast,compare,,,,,,,,,, 
郭,90ed,enclosure,quarters,fortification,red-light district,,,,,,,, 
閣,95a3,tower,tall building,palace,,,,,,,,, 
隔,9694,isolate,alternate,distance,separate,gulf,,,,,,, 
革,9769,leather,become serious,skin,hide,pelt,,,,,,, 
学,5b66,study,learning,science,,,,,,,,, 
岳,5cb3,point,peak,mountain,,,,,,,,, 
楽,697d,music,comfort,ease,,,,,,,,, 
額,984d,forehead,tablet,plaque,framed picture,sum,amount,volume,,,,, 
顎,984e,jaw,chin,gill,,,,,,,,, 
掛,639b,hang,suspend,depend,arrive at,tax,pour,,,,,, 
笠,7b20,bamboo hat,one's influence,,,,,,,,,, 
樫,6a2b,evergreen oak,(kokuji),,,,,,,,,, 
橿,6a7f,oak,,,,,,,,,,, 
梶,68b6,sculling oar,,,,,,,,,,, 
鰍,9c0d,bullhead,,,,,,,,,,, 
潟,6f5f,lagoon,,,,,,,,,,, 
割,5272,proportion,comparatively,divide,cut,separate,split,,,,,, 
喝,559d,hoarse,scold,,,,,,,,,, 
恰,6070,just as,as though,fortunately,,,,,,,,, 
括,62ec,fasten,tie up,arrest,constrict,,,,,,,, 
活,6d3b,lively,resuscitation,being helped,living,,,,,,,, 
渇,6e07,thirst,dry up,parch,,,,,,,,, 
滑,6ed1,slippery,slide,slip,flunk,,,,,,,, 
葛,845b,arrowroot,kudzu,,,,,,,,,, 
褐,8910,brown,woollen kimono,,,,,,,,,, 
轄,8f44,control,wedge,,,,,,,,,, 
且,4e14,moreover,also,furthermore,,,,,,,,, 
鰹,9c39,bonito,,,,,,,,,,, 
叶,53f6,grant,answer,,,,,,,,,, 
椛,691b,autumn foliage,birch,maple,(kokuji),,,,,,,, 
樺,6a3a,birch,dark red,,,,,,,,,, 
鞄,9784,suitcase,bag,briefcase,,,,,,,,, 
株,682a,stocks,stump,shares,stock,counter for small plants,,,,,,, 
兜,515c,helmet,head piece,,,,,,,,,, 
竃,7ac3,kitchen stove,furnace,oven,hearth,,,,,,,, 
蒲,84b2,bullrush,flag,cattail,,,,,,,,, 
釜,91dc,kettle,cauldron,iron pot,,,,,,,,, 
鎌,938c,sickle,scythe,trick,,,,,,,,, 
噛,565b,chew,bite,gnaw,,,,,,,,, 
鴨,9d28,wild duck,easy mark,,,,,,,,,, 
栢,6822,oak,,,,,,,,,,, 
茅,8305,miscanthus reed,,,,,,,,,,, 
萱,8431,miscanthus reed,,,,,,,,,,, 
粥,7ca5,rice gruel,,,,,,,,,,, 
刈,5208,reap,cut,clip,trim,prune,,,,,,, 
苅,82c5,cutting (grass),,,,,,,,,,, 
瓦,74e6,tile,gram,,,,,,,,,, 
乾,4e7e,drought,dry,dessicate,drink up,heaven,emperor,,,,,, 
侃,4f83,strong,just,righteous,peace-loving,,,,,,,, 
冠,51a0,crown,best,peerless,,,,,,,,, 
寒,5bd2,cold,,,,,,,,,,, 
刊,520a,publish,carve,engrave,,,,,,,,, 
勘,52d8,intuition,perception,,,,,,,,,, 
勧,52e7,persuade,recommend,advise,encourage,offer,,,,,,, 
巻,5dfb,scroll,volume,book,part,roll up,wind up,tie,coil,counter for texts (or book scrolls),,, 
喚,559a,yell,cry,scream,,,,,,,,, 
堪,582a,withstand,endure,support,resist,,,,,,,, 
姦,59e6,wicked,mischief,seduce,rape,noisy,,,,,,, 
完,5b8c,perfect,completion,end,,,,,,,,, 
官,5b98,bureaucrat,the government,,,,,,,,,, 
寛,5bdb,tolerant,leniency,generosity,relax,feel at home,be at ease,broadminded,,,,, 
干,5e72,dry,parch,,,,,,,,,, 
幹,5e79,tree trunk,,,,,,,,,,, 
患,60a3,afflicted,disease,suffer from,be ill,,,,,,,, 
感,611f,emotion,feeling,sensation,,,,,,,,, 
慣,6163,accustomed,get used to,become experienced,,,,,,,,, 
憾,61be,remorse,regret,be sorry,,,,,,,,, 
換,63db,interchange,period,change,convert,replace,renew,,,,,, 
敢,6562,daring,brave,bold,,,,,,,,, 
柑,67d1,citrus,orange,,,,,,,,,, 
桓,6853,marking post,,,,,,,,,,, 
棺,68fa,coffin,casket,,,,,,,,,, 
款,6b3e,goodwill,article,section,friendship,collusion,,,,,,, 
歓,6b53,delight,joy,,,,,,,,,, 
汗,6c57,sweat,perspire,,,,,,,,,, 
漢,6f22,Sino-,China,,,,,,,,,, 
澗,6f97,valley river,10**36,,,,,,,,,, 
潅,6f45,pour into,irrigate,shed (tears,flow into,concentrate on,,,,,,, 
環,74b0,ring,circle,link,wheel,,,,,,,, 
甘,7518,sweet,coax,pamper,be content,sugary,,,,,,, 
監,76e3,oversee,official,govt office,rule,administer,,,,,,, 
看,770b,watch over,see,,,,,,,,,, 
竿,7aff,pole,rod,scale beam,violin neck,,,,,,,, 
管,7ba1,pipe,tube,wind instrument,drunken talk,control,jurisdiction,,,,,, 
簡,7c21,simplicity,brevity,,,,,,,,,, 
緩,7de9,slacken,loosen,relax,lessen,be moderate,ease,,,,,, 
缶,7f36,tin can,container,jar radical (no. 121),,,,,,,,, 
翰,7ff0,letter,writing brush,,,,,,,,,, 
肝,809d,liver,pluck,nerve,chutzpah,,,,,,,, 
艦,8266,warship,,,,,,,,,,, 
莞,839e,smiling,reed used to cover tatami,,,,,,,,,, 
観,89b3,outlook,look,appearance,condition,view,,,,,,, 
諌,8acc,admonish,dissuade,,,,,,,,,, 
貫,8cab,pierce,8 1/3lbs,penetrate,brace,,,,,,,, 
還,9084,send back,return,,,,,,,,,, 
鑑,9451,specimen,take warning from,learn from,,,,,,,,, 
間,9593,interval,space,,,,,,,,,, 
閑,9591,leisure,,,,,,,,,,, 
関,95a2,connection,barrier,gateway,involve,concerning,,,,,,, 
陥,9665,collapse,fall into,cave in,fall (castle),slide into,,,,,,, 
韓,97d3,Korea,,,,,,,,,,, 
館,9928,building,mansion,large building,palace,,,,,,,, 
舘,8218,mansion,large building,palace,,,,,,,,, 
丸,4e38,round,full (month),perfection,-ship,pills,make round,roll up,curl up,seduce,explain away,, 
含,542b,include,bear in mind,understand,cherish,,,,,,,, 
岸,5cb8,beach,,,,,,,,,,, 
巌,5dcc,rock,crag,boulder,,,,,,,,, 
玩,73a9,play,take pleasure in,trifle with,make sport of,,,,,,,, 
癌,764c,cancer,cancerous evil,,,,,,,,,, 
眼,773c,eyeball,,,,,,,,,,, 
岩,5ca9,boulder,rock,cliff,,,,,,,,, 
翫,7feb,take pleasure in,play instrument,,,,,,,,,, 
贋,8d0b,counterfeit,forgery,,,,,,,,,, 
雁,96c1,wild goose,,,,,,,,,,, 
頑,9811,stubborn,foolish,firmly,,,,,,,,, 
顔,9854,face,expression,,,,,,,,,, 
願,9858,petition,request,vow,wish,hope,,,,,,, 
企,4f01,undertake,scheme,design,attempt,plan,,,,,,, 
伎,4f0e,deed,skill,,,,,,,,,, 
危,5371,dangerous,fear,uneasy,,,,,,,,, 
喜,559c,rejoice,take pleasure in,,,,,,,,,, 
器,5668,utensil,vessel,receptacle,implement,instrument,ability,container,tool,set,,, 
基,57fa,fundamentals,radical (chem),counter for machines,foundation,,,,,,,, 
奇,5947,strange,strangeness,curiosity,,,,,,,,, 
嬉,5b09,glad,pleased,rejoice,,,,,,,,, 
寄,5bc4,draw near,stop in,bring near,gather,collect,send,forward,,,,, 
岐,5c90,branch off,fork in road,scene,arena,theater,,,,,,, 
希,5e0c,hope,beg,request,pray,beseech,Greece,dilute (acid),rare,few,phenomenal,, 
幾,5e7e,how many,how much,how far,how long,some,several,,,,,, 
忌,5fcc,mourning,abhor,detestable,death anniversary,,,,,,,, 
揮,63ee,brandish,wave,wag,swing,shake,,,,,,, 
机,673a,desk,table,,,,,,,,,, 
旗,65d7,national flag,banner,standard,,,,,,,,, 
既,65e2,previously,already,long ago,,,,,,,,, 
期,671f,period,time,date,term,,,,,,,, 
棋,68cb,chess piece,Japanese chess,shogi,,,,,,,,, 
棄,68c4,abandon,throw away,discard,resign,reject,sacrifice,,,,,, 
機,6a5f,mechanism,opportunity,occasion,machine,airplane,,,,,,, 
帰,5e30,homecoming,arrive at,lead to,result in,,,,,,,, 
毅,6bc5,strong,,,,,,,,,,, 
気,6c17,spirit,mind,air,atmosphere,mood,,,,,,, 
汽,6c7d,vapor,steam,,,,,,,,,, 
畿,757f,capital,suburbs of capital,,,,,,,,,, 
祈,7948,pray,wish,,,,,,,,,, 
季,5b63,seasons,,,,,,,,,,, 
稀,7a00,rare,phenomenal,dilute (acid),,,,,,,,, 
紀,7d00,chronicle,account,narrative,history,annals,geologic period,,,,,, 
徽,5fbd,good,beautiful,badge,,,,,,,,, 
規,898f,standard,measure,,,,,,,,,, 
記,8a18,scribe,account,narrative,,,,,,,,, 
貴,8cb4,precious,value,prize,esteem,honor,,,,,,, 
起,8d77,rouse,wake up,get up,,,,,,,,, 
軌,8ecc,rut,wheel,track,model,way of doing,,,,,,, 
輝,8f1d,radiance,shine,sparkle,gleam,twinkle,,,,,,, 
飢,98e2,hungry,starve,,,,,,,,,, 
